Block size	Block number	Set asociativity	Cache Hit	Cache Miss	Hit ratio
----------------------------------------------------------------------------------
16	128	4	1534230	465770	76.71
32	64	4	1517559	482441	75.88
64	32	4	1408449	591551	70.42
128	16	4	1271199	728801	63.56
16	512	4	1841685	158315	92.08
32	256	4	1835760	164240	91.79
64	128	4	1799653	200347	89.98
128	64	4	1758359	241641	87.92
16	2048	4	1948959	51041	97.45
32	1024	4	1954075	45925	97.70
64	512	4	1954023	45977	97.70
128	256	4	1949425	50575	97.47
16	8192	4	1968547	31453	98.43
32	4096	4	1975838	24162	98.79
64	2048	4	1980750	19250	99.04
128	1024	4	1982423	17577	99.12
16	32768	4	1977864	22136	98.89
32	16384	4	1983861	16139	99.19
64	8192	4	1988307	11693	99.42
128	4096	4	1990434	9566	99.52
16	131072	4	1980784	19216	99.04
32	65536	4	1986800	13200	99.34
64	32768	4	1991085	8915	99.55
128	16384	4	1993731	6269	99.69
16	128	8	1507543	492457	75.38
32	64	8	1521603	478397	76.08
64	32	8	1393184	606816	69.66
128	16	8	1176707	823293	58.84
16	512	8	1848064	151936	92.40
32	256	8	1834184	165816	91.71
64	128	8	1769818	230182	88.49
128	64	8	1728421	271579	86.42
16	2048	8	1941529	58471	97.08
32	1024	8	1941912	58088	97.10
64	512	8	1936917	63083	96.85
128	256	8	1914834	85166	95.74
16	8192	8	1963834	36166	98.19
32	4096	8	1972024	27976	98.60
64	2048	8	1977657	22343	98.88
128	1024	8	1978102	21898	98.91
16	32768	8	1978462	21538	98.92
32	16384	8	1983690	16310	99.18
64	8192	8	1987642	12358	99.38
128	4096	8	1989786	10214	99.49
16	131072	8	1980925	19075	99.05
32	65536	8	1987011	12989	99.35
64	32768	8	1991270	8730	99.56
128	16384	8	1993989	6011	99.70
16	128	16	1629076	370924	81.45
32	64	16	1572364	427636	78.62
64	32	16	1463204	536796	73.16
128	16	16	1268170	731830	63.41
16	512	16	1889638	110362	94.48
32	256	16	1878399	121601	93.92
64	128	16	1832734	167266	91.64
128	64	16	1762761	237239	88.14
16	2048	16	1947972	52028	97.40
32	1024	16	1955093	44907	97.75
64	512	16	1956186	43814	97.81
128	256	16	1952662	47338	97.63
16	8192	16	1968319	31681	98.42
32	4096	16	1974833	25167	98.74
64	2048	16	1979646	20354	98.98
128	1024	16	1982367	17633	99.12
16	32768	16	1979307	20693	98.97
32	16384	16	1984820	15180	99.24
64	8192	16	1988567	11433	99.43
128	4096	16	1990660	9340	99.53
16	131072	16	1980951	19049	99.05
32	65536	16	1987049	12951	99.35
64	32768	16	1991341	8659	99.57
128	16384	16	1994051	5949	99.70
16	128	32	1450340	549660	72.52
32	64	32	1368849	631151	68.44
64	32	32	1227047	772953	61.35
128	16	32	1373207	626793	68.66
16	512	32	1863539	136461	93.18
32	256	32	1835992	164008	91.80
64	128	32	1759987	240013	88.00
128	64	32	1633075	366925	81.65
16	2048	32	1945543	54457	97.28
32	1024	32	1952098	47902	97.60
64	512	32	1948955	51045	97.45
128	256	32	1937689	62311	96.88
16	8192	32	1963407	36593	98.17
32	4096	32	1970930	29070	98.55
64	2048	32	1976974	23026	98.85
128	1024	32	1978990	21010	98.95
16	32768	32	1979073	20927	98.95
32	16384	32	1984007	15993	99.20
64	8192	32	1987315	12685	99.37
128	4096	32	1989102	10898	99.46
16	131072	32	1980980	19020	99.05
32	65536	32	1987086	12914	99.35
64	32768	32	1991393	8607	99.57
128	16384	32	1994126	5874	99.71
